Species_rep	Phylum	Class	Order	Family	Genus	Species
MGYG-HGUT-02186	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	Ruminococcus sp000432335
MGYG-HGUT-01629	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae		
MGYG-HGUT-00926	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	
MGYG-HGUT-00927	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae		
MGYG-HGUT-00928	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01673	Firmicutes_A	Clostridia	UBA1212	UBA1255		
MGYG-HGUT-00930	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	CAG-536	CAG-536 sp900314505
MGYG-HGUT-03993	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae		
MGYG-HGUT-00931	Firmicutes	Bacilli	ML615J-28	CAG-313		
MGYG-HGUT-00932	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae		
MGYG-HGUT-00934	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-00935	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae		
MGYG-HGUT-00936	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-00937	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae		
MGYG-HGUT-04129	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp000435395
MGYG-HGUT-04066	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01811	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA11774	
MGYG-HGUT-03090	Firmicutes	Bacilli	RF39	CAG-611	CAG-988	CAG-988 sp003149915
MGYG-HGUT-01895	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	
MGYG-HGUT-00940	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01921	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	
MGYG-HGUT-02783	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	
MGYG-HGUT-00943	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium	
MGYG-HGUT-04321	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus
MGYG-HGUT-03943	Firmicutes_A	Clostridia	Monoglobales			
MGYG-HGUT-02672	Firmicutes_A	Clostridia	Oscillospirales	CAG-272		
MGYG-HGUT-02776	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae		
MGYG-HGUT-00946	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG-HGUT-00947	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-02578	Proteobacteria	Alphaproteobacteria	RF32	CAG-977	CAG-977	
MGYG-HGUT-01877	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	UBA1822	UBA1822 sp002314995
MGYG-HGUT-00949	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-00951	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	GCA-900066495	
MGYG-HGUT-01777	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium sp000434115
MGYG-HGUT-00956	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	
MGYG-HGUT-02168	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	
MGYG-HGUT-01786	Firmicutes_A	Clostridia	4C28d-15	UBA1242	UBA11517	
MGYG-HGUT-02172	Firmicutes_A	Clostridia	4C28d-15			
MGYG-HGUT-01790	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	
MGYG-HGUT-04578	Firmicutes_A	Clostridia	4C28d-15	CAG-552		
MGYG-HGUT-01878	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
MGYG-HGUT-02621	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ndongoniae
MGYG-HGUT-02173	Firmicutes_A	Clostridia	4C28d-15	CAG-917	CAG-917	CAG-917 sp000437555
MGYG-HGUT-04521	Proteobacteria	Alphaproteobacteria	RF32	CAG-977	UBA11549	
MGYG-HGUT-00952	Firmicutes	Bacilli	RFN20	CAG-826	UBA4855	
MGYG-HGUT-01793	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-632	CAG-632 sp002406015
MGYG-HGUT-01795	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	K10	K10 sp001941205
MGYG-HGUT-00958	Firmicutes	Bacilli	RF39	CAG-1000	CAG-776	CAG-776 sp000438195
MGYG-HGUT-01797	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-590	
MGYG-HGUT-02174	Firmicutes_A	Clostridia	4C28d-15	CAG-917	CAG-475	
MGYG-HGUT-01896	Firmicutes_A	Clostridia	Monoglobales			
MGYG-HGUT-01802	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	
MGYG-HGUT-02194	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae		
MGYG-HGUT-04602	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
MGYG-HGUT-01154	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp000431675
MGYG-HGUT-02690	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01182	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp000435535
MGYG-HGUT-02184	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01859	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	
MGYG-HGUT-03046	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-04332	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01092	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-02910	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia exigua
MGYG-HGUT-02195	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	
MGYG-HGUT-02196	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1691	
MGYG-HGUT-00954	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	
MGYG-HGUT-02199	Firmicutes_A	Clostridia	4C28d-15	CAG-727	UBA11940	
MGYG-HGUT-03718	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	S5-A14a	
MGYG-HGUT-02405	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella sp900119915
MGYG-HGUT-02206	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-00955	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	
MGYG-HGUT-01787	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
MGYG-HGUT-02240	Firmicutes	Bacilli	RF39	CAG-1000	UBA11963	
MGYG-HGUT-01773	Firmicutes_A	Clostridia	4C28d-15	CAG-917	CAG-475	
MGYG-HGUT-01779	Firmicutes_A	Clostridia	UBA1212	UBA1255		
MGYG-HGUT-01781	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter sp000432995
